AFP_1/encode	AFP
CUX1_HOXA13_1/taiple	HOXB13
CUX1_HOXA13_1/taiple	HOXC13
CUX1_HOXA13_1/taiple	HOXD13
CUX1_HOXA13_2/taiple	CUX1
CUX1_HOXA13_2/taiple	HOXA13
CUX1_HOXA13_2/taiple	HOXB13
CUX1_HOXA13_2/taiple	HOXC13
CUX1_HOXA13_2/taiple	HOXD13
CUX1_HOXA13_2/taiple	ONECUT1
CUX1_HOXA13_2/taiple	ONECUT2
CUX1_HOXA13_2/taiple	ONECUT3
CUX1_NHLH1_1/taiple	CUX1
CUX1_NHLH1_1/taiple	NHLH1
CUX1_NHLH1_2/taiple	CUX1
CUX1_NHLH1_2/taiple	NHLH1
CUX1_PITX1_1/taiple	ALX1
CUX1_PITX1_1/taiple	ALX3
CUX1_PITX1_1/taiple	ALX4
CUX1_PITX1_1/taiple	ARX
CUX1_PITX1_1/taiple	CUX1
CUX1_PITX1_1/taiple	DMBX1
CUX1_PITX1_1/taiple	ESX1
CUX1_PITX1_1/taiple	ISX
CUX1_PITX1_1/taiple	PHOX2A
CUX1_PITX1_1/taiple	PHOX2B
CUX1_PITX1_1/taiple	PITX1
CUX1_PITX1_1/taiple	PITX2
CUX1_PITX1_1/taiple	PITX3
CUX1_PITX1_1/taiple	PRRX1
CUX1_PITX1_1/taiple	PRRX2
CUX1_PITX1_1/taiple	RAX
CUX1_PITX1_1/taiple	SHOX2
CUX1_PITX1_1/taiple	UNCX
CUX1_PITX1_1/taiple	VSX1
CUX1_PITX1_1/taiple	VSX2
CUX1_RFX5_1/taiple	CUX1
CUX1_RFX5_1/taiple	RFX5
CUX1_RFX5_1/taiple	RFX7
CUX1_RFX5_2/taiple	CUX1
CUX1_RFX5_2/taiple	RFX5
CUX1_RFX5_2/taiple	RFX7
CUX1_SOX15_1/taiple	CUX1
CUX1_SOX15_1/taiple	SOX1
CUX1_SOX15_1/taiple	SOX14
CUX1_SOX15_1/taiple	SOX15
CUX1_SOX15_1/taiple	SOX2
CUX1_SOX15_1/taiple	SOX21
CUX1_SOX15_1/taiple	SOX3
CUX1_SOX15_1/taiple	SRY
CUX1_SOX15_2/taiple	CUX1
CUX1_SOX15_2/taiple	SOX1
CUX1_SOX15_2/taiple	SOX14
CUX1_SOX15_2/taiple	SOX15
CUX1_SOX15_2/taiple	SOX2
CUX1_SOX15_2/taiple	SOX21
CUX1_SOX15_2/taiple	SOX3
CUX1_SOX15_2/taiple	SRY
CUX1_SOX15_3/taiple	CUX1
CUX1_SOX15_3/taiple	SOX1
CUX1_SOX15_3/taiple	SOX14
CUX1_SOX15_3/taiple	SOX15
CUX1_SOX15_3/taiple	SOX2
CUX1_SOX15_3/taiple	SOX21
CUX1_SOX15_3/taiple	SOX3
CUX1_SOX15_3/taiple	SRY
CUX1_SRF_1/taiple	CUX1
CUX1_SRF_1/taiple	SRF
CUX1_TBX21_1/taiple	CUX1
CUX1_TBX21_1/taiple	EOMES
CUX1_TBX21_1/taiple	TBR1
CUX1_TBX21_1/taiple	TBX21
CUX1_TBX21_2/taiple	CUX1
CUX1_TBX21_2/taiple	EOMES
CUX1_TBX21_2/taiple	TBR1
CUX1_TBX21_2/taiple	TBX21
CUX1_TBX3_1/taiple	CUX1
CUX1_TBX3_1/taiple	TBX2
CUX1_TBX3_1/taiple	TBX3
CUX1_TBX3_1/taiple	TBX4
CUX1_TBX3_1/taiple	TBX5
Crx/MA0467.1/Jaspar	CRX
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	CUX2
DBP_1/encode	DBP
DBP_1/encode	HLF
DBP_1/encode	TEF
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	DMRT1
DMRT2_1/encode	DMRT2
DMRT2_1/encode	DMRT3
DMRT2_1/encode	DMRTA1
DMRT2_1/encode	DMRTC2
DMRT3/MA0610.1/Jaspar	DMRT3
DMRTA2_1/encode	DMRTA2
DMRTC2_1/encode	DMRT2
DMRTC2_1/encode	DMRTC2
Ddit3::Cebpa/MA0019.1/Jaspar	CEBPA
Ddit3::Cebpa/MA0019.1/Jaspar	CEBPB
Ddit3::Cebpa/MA0019.1/Jaspar	CEBPD
Ddit3::Cebpa/MA0019.1/Jaspar	CEBPE
Ddit3::Cebpa/MA0019.1/Jaspar	DDIT3
Dmbx1/MA0883.1/Jaspar	ALX1
Dmbx1/MA0883.1/Jaspar	ALX3
Dmbx1/MA0883.1/Jaspar	ALX4
Dmbx1/MA0883.1/Jaspar	ARX
Dmbx1/MA0883.1/Jaspar	DMBX1
