AFP_1/encode	Afp
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpb
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpd
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpe
CEBPA/MA0102.3/Jaspar	Cebpa
CEBPA/MA0102.3/Jaspar	Cebpb
CEBPA/MA0102.3/Jaspar	Cebpd
CEBPA/MA0102.3/Jaspar	Cebpe
CEBPA/MA0102.3/Jaspar	Ep300
CEBPB_disc2/encode	Cebpa
CEBPB_disc2/encode	Cebpb
CEBPB_disc2/encode	Cebpd
CEBPB_disc2/encode	Cebpe
CEBPB_known3/encode	Cebpa
CEBPB_known3/encode	Cebpb
CEBPB_known3/encode	Cebpd
CEBPB_known3/encode	Cebpe
CEBPB_known5/encode	Cebpa
CEBPB_known5/encode	Cebpb
CEBPB_known5/encode	Cebpd
CEBPB_known5/encode	Cebpe
CEBPB_known6/encode	Cebpa
CEBPB_known6/encode	Cebpb
CEBPB_known6/encode	Cebpd
CEBPB_known6/encode	Cebpe
CEBPD_1/encode	Cebpa
CEBPD_1/encode	Cebpb
CEBPD_1/encode	Cebpd
CEBPD_1/encode	Cebpe
CEBPG_1/encode	Cebpg
CEBPG_CREB3L1_1/taiple	Cebpg
CEBPG_CREB3L1_1/taiple	Creb3l1
CEBPG_CREB3L1_1/taiple	Creb3l2
CEBPG_ELF1_1/taiple	Cebpg
CEBPG_ELF1_1/taiple	Elf1
CEBPG_ELF1_1/taiple	Elf2
CEBPG_ELF1_1/taiple	Elf4
CENPB/MA0637.1/Jaspar	Cenpb
CHD2_disc2/encode	Chd2
CHD2_disc2/encode	E2f1
CHD2_disc2/encode	E2f2
CHD2_disc2/encode	E2f3
CHD2_disc3/encode	Chd2
CLOCK_BHLHA15_1/taiple	Atoh1
CLOCK_BHLHA15_1/taiple	Bhlha15
CLOCK_BHLHA15_1/taiple	Clock
CLOCK_BHLHA15_1/taiple	Npas2
CLOCK_EVX1_1/taiple	Clock
CLOCK_EVX1_1/taiple	Evx1
CLOCK_EVX1_1/taiple	Evx2
CLOCK_EVX1_1/taiple	Npas2
CLOCK_EVX1_2/taiple	Clock
CLOCK_EVX1_2/taiple	Evx1
CLOCK_EVX1_2/taiple	Evx2
CLOCK_EVX1_2/taiple	Npas2
CLOCK_EVX1_3/taiple	Clock
CLOCK_EVX1_3/taiple	Evx1
CLOCK_EVX1_3/taiple	Evx2
CLOCK_EVX1_3/taiple	Npas2
CLOCK_EVX1_4/taiple	Clock
CLOCK_EVX1_4/taiple	Evx1
CLOCK_EVX1_4/taiple	Evx2
CLOCK_EVX1_4/taiple	Npas2
CLOCK_FIGLA_1/taiple	Clock
CLOCK_FIGLA_1/taiple	Figla
CLOCK_FIGLA_1/taiple	Npas2
CLOCK_FIGLA_2/taiple	Clock
CLOCK_FIGLA_2/taiple	Figla
CLOCK_FIGLA_2/taiple	Npas2
CLOCK_NHLH1_1/taiple	Clock
CLOCK_NHLH1_1/taiple	Nhlh1
CLOCK_NHLH1_1/taiple	Npas2
CLOCK_NHLH1_2/taiple	Clock
CLOCK_NHLH1_2/taiple	Max
CLOCK_NHLH1_2/taiple	Nhlh1
CLOCK_NHLH1_2/taiple	Npas2
CLOCK_NHLH1_2/taiple	Tfap4
CLOCK_TBX3_1/taiple	Clock
CLOCK_TBX3_1/taiple	Npas2
CLOCK_TBX3_1/taiple	Tbx2
CLOCK_TBX3_1/taiple	Tbx3
CLOCK_TBX3_1/taiple	Tbx4
CLOCK_TBX3_1/taiple	Tbx5
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	Nr2c1
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	Nr2c2
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	Nr2f1
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	Nr2f2
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	Nr2f6
CPEB1_1/encode	Cpeb1
CRE(bZIP)/Promoter/Homer	Atf1
CRE(bZIP)/Promoter/Homer	Atf2
CRE(bZIP)/Promoter/Homer	Atf3
CRE(bZIP)/Promoter/Homer	Atf7
CRE(bZIP)/Promoter/Homer	Creb1
CRE(bZIP)/Promoter/Homer	Creb5
CRE(bZIP)/Promoter/Homer	Crem
CRE(bZIP)/Promoter/Homer	Jdp2
CREB3/MA0638.1/Jaspar	Atf6
CREB3/MA0638.1/Jaspar	Atf6b
CREB3/MA0638.1/Jaspar	Creb3
CREB3/MA0638.1/Jaspar	Creb3l1
CREB3/MA0638.1/Jaspar	Creb3l2
CREB3/MA0638.1/Jaspar	Creb3l3
CREB3/MA0638.1/Jaspar	Creb3l4
CREB3/MA0638.1/Jaspar	Xbp1
CREB3L1_2/encode	Creb3l1
CREB3L1_2/encode	Creb3l2
CRX_1/encode	Crx
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	Ctcf
CTCFL_disc1/encode	Ctcfl
CTCFL_disc1/encode	Zbtb7a
CTCF_disc1/encode	Ctcf
